transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
36703,3,39253,13,39253.jpg,0,96.4,0.0,3,0,0,Olsson,1.9,False,35,432,False,Jonas,0,0,-3,0,1.1,3,0,12.0,8,0,16716,u,0.0,0,0,42,1.1,1,0,0.5,0.0,0,Transferred to Djurgarden IF,261,0,0,0,0,0,0,60,2,0.0,21.0,19,0,590,Olsson,0
105636,10,60232,50,60232.jpg,0,742.4,0.0,25,4,0,Dawson,20.8,False,35,433,False,Craig,0,100,-1,0,317.1,1,6,147.9,102,0,99611,a,0.0,0,0,49,2.8,6,0,2.5,0.0,0,,433,0,1,1,0,0,0,500,2,2.8,418.0,19,100,3276,Dawson,0
19290,0,42583,0,42583.jpg,0,0.0,0.0,15,0,0,Pocognoli,0.0,False,35,434,False,Sébastien,0,0,0,0,0.0,0,0,0.0,0,0,1964,u,0.0,0,0,40,0.0,0,0,0.2,0.0,0,Moved to Brighton on loan until the end of the season,16,0,0,0,0,0,0,0,2,0.0,0.0,19,0,0,Pocognoli,0
29549,0,77760,0,77760.jpg,0,0.0,0.0,16,0,0,Gamboa,0.0,False,35,435,False,Cristian,0,0,0,0,0.0,0,0,0.0,0,0,2019,u,0.0,0,0,40,0.0,0,0,0.4,0.0,0,Joined Celtic on 30/8,0,0,0,0,0,0,0,0,2,0.0,0.0,19,0,0,Gamboa,0
1012775,5,19272,45,19272.jpg,0,913.8,0.0,23,6,0,McAuley,26.2,False,35,436,False,Gareth,0,100,5,0,74.3,-5,14,135.4,131,0,1560638,a,0.0,1,0,50,3.6,7,1,24.7,0.0,0,,339,0,4,0,0,0,0,576,2,1.5,367.0,19,75,3140,McAuley,0
4676,0,43252,0,43252.jpg,0,0.0,0.0,4,0,0,Chester,0.0,False,35,437,False,James,0,0,0,0,0.0,0,0,0.0,0,0,207,u,0.0,0,0,45,0.0,0,0,0.0,0.0,0,Joined Aston Vila on 12/8,85,0,0,0,0,0,0,0,2,0.0,0.0,19,0,0,Chester,0
176009,5,19151,37,19151.jpg,0,509.4,0.0,11,3,0,Brunt,20.6,False,35,438,False,Chris,0,100,-2,0,674.5,2,11,153.1,99,0,259739,a,0.0,0,0,48,3.2,4,4,2.3,0.0,0,,230,0,2,1,0,0,0,462,2,2.5,340.0,19,100,2477,Brunt,0
640073,0,14295,45,14295.jpg,0,393.2,0.0,24,2,0,Fletcher,23.4,False,35,439,False,Darren,0,100,-1,0,362.3,1,2,101.2,103,0,447906,a,0.0,0,0,44,2.7,8,3,8.1,0.0,0,,403,0,1,5,0,0,0,453,3,1.8,260.0,19,100,3231,Fletcher,0
7451,1,28468,6,28468.jpg,0,35.4,0.0,8,0,0,Gardner,2.7,False,35,440,False,Craig,0,0,-4,0,137.9,4,0,18.3,14,0,5115,u,0.0,0,0,51,1.6,1,1,0.1,0.0,0,Joined Birmingham City on loan from 11/1 until the end of the season,244,0,0,0,0,0,0,52,3,0.0,11.0,19,0,218,Gardner,0
121899,3,18008,22,18008.jpg,0,351.0,0.0,7,5,0,Morrison,19.5,False,35,441,False,James,0,100,-7,0,348.9,7,4,93.7,84,0,160829,a,0.0,0,0,43,2.7,4,2,1.1,0.0,0,,266,0,0,2,0,0,0,328,3,0.8,237.0,19,100,1741,Morrison,0
