transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
335,0,19524,0,19524.jpg,0,0.0,0.0,19,0,0,Cazorla,0.0,False,3,17,False,Santiago,335,0,0,0,0.0,0,0,0.0,0,0,72,i,0.0,0,0,70,0.0,0,0,0.0,0.0,0,Ankle injury - Unknown return date,0,0,0,0,0,0,72,0,3,0.0,0.0,1,0,0,Cazorla,0
6297,0,41792,0,41792.jpg,0,29.6,1.5,8,1,0,Ramsey,0.9,False,3,18,False,Aaron,6297,100,0,0,11.2,0,0,6.7,6,0,61439,a,6.0,0,0,70,6.0,0,0,2.9,0.9,0,,0,0,0,6,0,0,61439,16,3,3.6,26.0,1,50,23,Ramsey,0
13476,0,81880,3,81880.jpg,0,35.8,2.7,15,0,0,Chamberlain,0.3,False,3,19,False,Alex,13476,,0,0,29.3,0,0,10.9,2,0,18123,a,2.0,0,0,60,2.0,0,0,3.8,0.3,0,,0,0,0,2,0,0,18123,26,3,3.2,44.0,1,,90,Oxlade-Chamberlain,0
3299,0,56864,0,56864.jpg,0,0.0,1.3,34,0,0,Coquelin,0.0,False,3,20,False,Francis,3299,100,0,0,0.0,0,0,0.0,0,0,1414,a,0.0,0,0,45,0.0,0,0,0.8,0.0,0,,0,0,0,0,0,0,1414,0,3,2.3,0.0,1,75,0,Coquelin,0
37998,0,153133,0,153133.jpg,0,0.0,2.4,17,0,0,Iwobi,0.0,False,3,21,False,Alex,37998,,-1,1,0.0,1,0,0.0,0,0,1100,a,0.0,0,0,54,0.0,0,0,2.3,0.0,0,,0,0,0,0,0,0,1100,0,3,2.9,0.0,1,,0,Iwobi,-1
12072,0,153256,3,153256.jpg,0,31.4,1.8,35,0,0,Elneny,1.1,False,3,22,False,Mohamed,12072,,0,0,30.8,0,0,6.3,5,0,62686,a,5.0,0,0,45,5.0,0,1,4.0,1.1,0,,0,0,0,5,0,0,62686,21,3,2.3,1.0,1,,66,Elneny,0
17969,0,84450,3,84450.jpg,0,51.2,2.5,29,0,0,Xhaka,1.8,True,3,23,False,Granit,17969,,1,-1,77.8,-1,2,15.3,10,0,300035,a,10.0,0,0,56,10.0,0,2,14.2,1.8,0,,0,0,1,10,0,0,300035,37,3,3.0,24.0,1,,90,Xhaka,1
313,0,54102,0,54102.jpg,0,0.0,0.6,10,0,0,Wilshere,0.0,False,3,24,False,Jack,313,25,0,0,0.0,0,0,0.0,0,0,73,d,0.0,0,0,55,0.0,0,0,0.0,0.0,0,Leg injury - 25% chance of playing,0,0,0,0,0,0,73,0,3,0.7,0.0,1,25,0,Wilshere,0
7258,0,44346,0,44346.jpg,0,35.0,3.3,12,1,0,Giroud,0.6,False,3,25,False,Olivier,7258,100,0,0,14.9,0,0,6.9,5,0,3918,a,5.0,0,0,85,5.0,0,0,2.2,0.6,0,,0,0,0,5,0,0,3918,31,4,3.8,19.0,1,100,23,Giroud,0
4182,0,50175,3,50175.jpg,0,43.0,3.0,23,1,0,Welbeck,0.8,False,3,26,False,Danny,4182,,0,0,29.0,0,0,12.9,6,0,7034,a,6.0,0,0,75,6.0,0,0,1.2,0.8,0,,0,0,0,6,0,0,7034,31,4,3.5,57.0,1,,74,Welbeck,0
2144,0,155851,0,155851.jpg,0,0.0,3.0,28,0,0,Pérez,0.0,False,3,27,False,Lucas,2144,,0,0,0.0,0,0,0.0,0,0,112,a,0.0,0,0,75,0.0,0,0,0.2,0.0,0,,0,0,0,0,0,0,112,0,4,3.5,0.0,1,,0,Pérez,0
28075,0,59966,3,59966.jpg,0,49.0,4.0,9,1,0,Lacazette,0.6,False,3,28,False,Alexandre,28075,,0,0,39.8,0,0,14.9,6,0,37525,a,6.0,0,0,105,6.0,0,0,18.5,0.6,0,,0,0,0,6,0,0,37525,32,4,4.5,60.0,1,,90,Lacazette,0
7001,0,40349,1,40349.jpg,5,34.6,2.1,27,0,0,Begovic,0.7,False,91,29,False,Asmir,7001,,0,0,0.0,0,0,3.5,3,0,8632,a,3.0,0,0,45,3.0,0,0,5.9,0.7,0,,0,0,0,3,0,0,8632,19,1,2.1,0.0,2,,90,Begovic,0
20029,0,18726,0,18726.jpg,0,0.0,2.1,1,0,0,Boruc,0.0,False,91,30,False,Artur,20029,,0,0,0.0,0,0,0.0,0,0,288,a,0.0,0,0,45,0.0,0,0,4.3,0.0,0,,0,0,0,0,0,0,288,0,1,2.1,0.0,2,,0,Boruc,0
6735,0,15885,0,15885.jpg,0,0.0,1.0,32,0,0,Federici,0.0,False,91,31,False,Adam,6735,100,0,0,0.0,0,0,0.0,0,0,2696,a,0.0,0,0,40,0.0,0,0,5.3,0.0,0,,0,0,0,0,0,0,2696,0,1,1.0,0.0,2,100,0,Federici,0
17654,0,15149,1,15149.jpg,0,17.6,1.8,2,0,0,Francis,0.4,False,91,32,False,Simon,17654,75,0,0,9.6,0,0,2.7,2,0,1027,d,2.0,0,0,45,2.0,0,0,2.7,0.4,0,Hamstring injury - 75% chance of playing,0,0,0,2,0,0,1027,16,2,1.4,0.0,2,,79,Francis,0
2502,0,56917,1,56917.jpg,0,13.6,1.7,3,0,0,Steve Cook,0.4,False,91,33,False,Steve,2502,100,0,0,11.4,0,0,2.7,2,0,482,a,2.0,0,0,50,2.0,0,0,0.8,0.4,0,,0,0,0,2,0,0,482,12,2,2.3,2.0,2,75,90,Cook,0
46986,0,41320,1,41320.jpg,0,12.2,2.3,11,0,0,Daniels,0.4,False,91,34,False,Charlie,46986,,0,0,10.0,0,0,4.0,2,0,7366,a,2.0,0,0,50,2.0,0,0,18.9,0.4,0,,0,0,0,2,0,0,7366,13,2,2.3,18.0,2,,90,Daniels,0
4223,0,54469,0,54469.jpg,0,2.2,2.3,15,0,0,Adam Smith,0.2,False,91,35,False,Adam,4223,100,0,0,0.6,0,0,0.3,1,0,340,a,1.0,0,0,50,1.0,0,0,1.1,0.2,0,,0,0,0,1,0,0,340,2,2,2.3,0.0,2,100,10,Smith,0
1607,0,149484,0,149484.jpg,0,0.0,1.8,26,0,0,Mings,0.0,False,91,36,False,Tyrone,1607,,0,0,0.0,0,0,0.0,0,0,373,a,0.0,0,0,45,0.0,0,0,0.5,0.0,0,,0,0,0,0,0,0,373,0,2,1.8,0.0,2,,0,Mings,0
11635,0,120447,0,120447.jpg,0,0.0,1.3,14,0,0,Brad Smith,0.0,False,91,37,False,Bradley,11635,,0,0,0.0,0,0,0.0,0,0,13657,a,0.0,0,0,40,0.0,0,0,4.6,0.0,0,,0,0,0,0,0,0,13657,0,2,1.3,0.0,2,,0,Smith,0
14192,0,126184,1,126184.jpg,0,24.0,2.3,5,0,0,Aké,0.6,False,91,38,False,Nathan,14192,,0,0,0.3,0,1,4.1,3,0,11130,a,3.0,0,0,50,3.0,0,0,8.4,0.6,0,,0,0,0,3,0,0,11130,25,2,2.3,17.0,2,,90,Aké,0
2373,1,48615,1,48615.jpg,0,15.0,1.6,8,0,0,Arter,0.2,False,91,39,False,Harry,2373,,0,0,9.7,0,0,2.6,1,0,788,a,1.0,0,0,50,1.0,0,0,0.9,0.2,0,,0,0,0,1,0,0,788,13,3,1.6,1.0,2,,90,Arter,0
406,0,20037,1,20037.jpg,0,1.8,1.6,7,0,0,Pugh,0.2,False,91,40,False,Marc,406,,0,0,15.3,0,0,1.9,1,0,171,a,1.0,0,0,50,1.0,0,0,0.1,0.2,0,,0,0,0,1,0,0,171,2,3,1.6,2.0,2,,45,Pugh,0
2764,0,15237,1,15237.jpg,0,21.6,1.3,6,0,0,Surman,0.4,False,91,41,False,Andrew,2764,,0,0,17.6,0,0,4.0,2,0,1525,a,2.0,0,0,45,2.0,0,0,0.9,0.4,0,,0,0,0,2,0,0,1525,14,3,1.3,1.0,2,,90,Surman,0
976,0,56872,0,56872.jpg,0,0.0,0.0,19,0,0,Stanislas,0.0,False,91,42,False,Junior,976,0,0,0,0.0,0,0,0.0,0,0,33,i,0.0,0,0,60,0.0,0,0,0.1,0.0,0,Groin Injury - Expected back 16 Sep,0,0,0,0,0,0,33,0,3,0.0,0.0,2,0,0,Stanislas,0
408,0,40387,0,40387.jpg,0,0.0,1.6,4,0,0,Gosling,0.0,False,91,43,False,Dan,408,,0,0,0.0,0,0,0.0,0,0,59,a,0.0,0,0,50,0.0,0,0,0.1,0.0,0,,0,0,0,0,0,0,59,0,3,1.6,0.0,2,,0,Gosling,0
759,0,59741,0,59741.jpg,0,0.0,1.6,10,0,0,Gradel,0.0,False,91,44,False,Max,759,0,0,0,0.0,0,0,0.0,0,0,92,u,0.0,0,0,50,0.0,0,0,0.1,0.0,0,Season-long loan to Toulouse,0,0,0,0,0,0,92,0,3,0.0,0.0,2,,0,Gradel,0
1884,0,103912,0,103912.jpg,0,11.0,1.6,33,0,0,Ibe,0.2,False,91,45,False,Jordon,1884,,0,0,7.3,0,0,2.8,1,0,665,a,1.0,0,0,50,1.0,0,0,0.5,0.2,0,,0,0,0,1,0,0,665,6,3,1.6,10.0,2,,45,Ibe,0
2581,0,155408,0,155408.jpg,0,0.0,1.3,16,0,0,Lewis Cook,0.0,False,91,46,False,Lewis,2581,,0,0,0.0,0,0,0.0,0,0,362,a,0.0,0,0,45,0.0,0,0,0.7,0.0,0,,0,0,0,0,0,0,362,0,3,1.3,0.0,2,,0,Cook,0
4225,0,90105,1,90105.jpg,0,13.8,2.0,24,0,0,Fraser,0.4,False,91,47,False,Ryan,4225,,0,0,33.7,0,0,7.7,2,0,2194,a,2.0,0,0,55,2.0,0,0,1.4,0.4,0,,0,0,0,2,0,0,2194,13,3,2.0,29.0,2,,90,Fraser,0
402,0,75115,0,75115.jpg,0,0.0,0.0,13,0,0,Callum Wilson,0.0,False,91,48,False,Callum,402,0,0,0,0.0,0,0,0.0,0,0,49,i,0.0,0,0,60,0.0,0,0,0.0,0.0,0,Knee injury - Unknown return date,0,0,0,0,0,0,49,0,4,0.0,0.0,2,0,0,Wilson,0
4532,0,88498,1,88498.jpg,0,5.2,2.0,9,0,0,Afobe,0.3,False,91,49,False,Benik,4532,,0,0,16.2,0,0,2.7,2,0,729,a,2.0,0,0,60,2.0,0,0,0.6,0.3,0,,0,0,0,2,0,0,729,7,4,2.0,6.0,2,,63,Afobe,0
804,0,178304,0,178304.jpg,0,0.0,1.5,31,0,0,Mousset,0.0,False,91,50,False,Lys,804,,0,0,0.0,0,0,0.0,0,0,258,a,0.0,0,0,50,0.0,0,0,0.1,0.0,0,,0,0,0,0,0,0,258,0,4,1.5,0.0,2,,0,Mousset,0
